train_acc,train_loss,val_acc,val_loss
0.5201,1.5588613,0.7365189873417722,0.8001734
0.7796600000000001,0.655691,0.8062658227848102,0.5657701
0.8215800000000001,0.5227694,0.8256962025316454,0.51228094
0.84201,0.45669058,0.8420253164556963,0.45758066
0.8523699999999999,0.4189854,0.8415822784810125,0.4404011
0.8617100000000001,0.38717145,0.8579746835443038,0.40831873
0.8704200000000001,0.36027378,0.8581645569620252,0.41769034
0.87572,0.3415925,0.8615189873417722,0.4016922
0.88101,0.32379824,0.8616455696202531,0.4116874
0.8860800000000001,0.30870464,0.8662025316455697,0.397306
0.8887200000000001,0.29692912,0.8632911392405062,0.4055545
0.89141,0.28636193,0.869620253164557,0.39952648
0.8963900000000001,0.27279773,0.8712658227848102,0.3928655
0.8993600000000002,0.2642864,0.8706962025316455,0.40777212
0.90149,0.25494593,0.87,0.41532627
0.90327,0.24912283,0.8660759493670886,0.41760412
0.9049400000000001,0.24249241,0.8744303797468352,0.39313513
0.9087000000000001,0.2339951,0.8693037974683546,0.4166466
0.91117,0.2262073,0.8704430379746836,0.41443643
0.9112899999999999,0.22308117,0.8662025316455697,0.44047827
0.91425,0.21758386,0.8683544303797468,0.43988973
0.91679,0.21078934,0.8699999999999999,0.43401977
0.9172100000000001,0.21013784,0.8679113924050632,0.4406584
0.91901,0.2026274,0.870379746835443,0.44967824
0.91963,0.19967651,0.8718987341772151,0.49152848
0.9216,0.19633842,0.8696835443037975,0.4662097
0.92458,0.19054238,0.8610759493670885,0.4794847
0.9249299999999999,0.18885034,0.8689240506329113,0.48400497
0.92616,0.18353339,0.8711392405063292,0.47009322
0.9278299999999999,0.17894506,0.8666455696202532,0.5002763
0.92843,0.17792028,0.8648101265822784,0.50900614
0.9296399999999999,0.17533487,0.8633544303797467,0.5165127
0.9305899999999999,0.17416868,0.863607594936709,0.5097023
0.9327599999999999,0.1680051,0.8677848101265824,0.5097992
0.9342199999999999,0.16395368,0.8648734177215192,0.5409904
0.9333899999999998,0.16579011,0.8648734177215188,0.5095928
0.9349299999999998,0.16226141,0.8673417721518987,0.55468935
0.9362099999999999,0.15735583,0.8665822784810128,0.5621389
0.93834,0.15345898,0.8623417721518988,0.56228906
0.93855,0.15102687,0.8653164556962025,0.55289346
0.9391499999999999,0.15160917,0.8604430379746835,0.5511151
0.94151,0.14649579,0.86126582278481,0.5931798
0.9408399999999999,0.14707662,0.8663291139240507,0.537852
0.94392,0.1397731,0.8685443037974685,0.5454491
0.94392,0.14076006,0.8643670886075949,0.64734703
0.94578,0.13618478,0.8612025316455696,0.61605215
0.9473799999999999,0.13331136,0.8618354430379747,0.6141191
0.9459899999999999,0.13483718,0.8624683544303796,0.63249236
